Prompt	Category	Challenge	Note	Decision
a flying boat gliding past the Parthenon	Vehicles	Imagination		gen
the Parthenon in front of the Great Pyramid	World Knowledge	Imagination		ret
a diplodocus standing in front of the Millennium Wheel	World Knowledge	Imagination		ret
a child and a penguin sitting on the moon	People	Imagination		gen
Superman shaking hands with Spiderman	People	Imagination		same
a man with puppet that looks like a king	People	Imagination		ret
a person with arms like a tree branch	People	Imagination		same
a man riding a cat	People	Imagination		gen
a triangle with a smiling face	Illustrations	Imagination		ret
a square with an angry face	Illustrations	Imagination		ret
a concert without any fans	People	Linguistic Structures	Negation	same
a summer tree without any leaves	Produce & Plants	Linguistic Structures	Negation	ret
a classroom without any students	People	Linguistic Structures	Negation	same
a bookshelf without any books on it	Artifacts	Linguistic Structures	Negation	same
a shoe rack without any pairs of shoes on it	Artifacts	Linguistic Structures	Negation	same
a closet without clothes	Artifacts	Linguistic Structures	Negation	ret
a plate that has no bananas on it. there is a glass without orange juice next to it.	Food & Beverage	Linguistic Structures	Negation	ret
A bird gives an apple to a squirrel	Animals	Linguistic Structures	Ditransitive verbs	ret
A squirrel gives an apple to a bird	Animals	Linguistic Structures	Ditransitive verbs	same
A dog gives an apple to a squirrel	Animals	Linguistic Structures	Ditransitive verbs	same
The sculpture rolled off the shelf because it wasn't level	Artifacts	Linguistic Structures	Winograd Schema Challenge	same
The sculpture rolled off the shelf because it wasn't anchored	Artifacts	Linguistic Structures	Winograd Schema Challenge	gen
The large ball crashed right through the table because it was made of styrofoam	Artifacts	Linguistic Structures	Winograd Schema Challenge	gen
The large ball crashed right through the table because it was made of steel	Artifacts	Linguistic Structures	Winograd Schema Challenge	gen
The trophy doesn't fit into the brown suitcase because it's too small	Artifacts	Linguistic Structures	Winograd Schema Challenge	gen
The trophy doesn't fit into the brown suitcase because it's too large	Artifacts	Linguistic Structures	Winograd Schema Challenge	gen
The coach smiled at the player tossed the frisbee	People	Linguistic Structures	https://en.wikipedia.org/wiki/List_of_linguistic_example_sentences	same
The rat the cat the dog bit chased escaped.	Animals	Linguistic Structures	https://en.wikipedia.org/wiki/List_of_linguistic_example_sentences	ret
To a squirrel, a dog gives an apple.	Animals	Linguistic Structures	Ditransitive verbs	same
A man gives a woman a laptop and a boy a book.	People	Linguistic Structures	Ditransitive verbs	same
A robot gives a wombat an orange and a lemur a banana.	Animals	Linguistic Structures	Ditransitive verbs	gen
A man sips a latte and a woman a beer.	Food & Beverage	Linguistic Structures		same
A rabbit checks its watch, and so does a gecko.	Animals	Linguistic Structures		ret
A boy holds and a girl paints a piece of wood.	People	Linguistic Structures		gen
A cat that has black fur bats a red Christmas ornament that has silver sparkles.	Animals	Linguistic Structures		same
The mouse the cat watches is jumping in the air.	Animals	Linguistic Structures		gen
Four deer surrounding a moose.	Animals	Linguistic Structures		same
supercalifragilisticexpialidocious	Abstract	Linguistic Structures	Mary Poppins described it as the word to use “when you have nothing to say.”	same
Incomprehensibilities	Abstract	Linguistic Structures		ret
Pneumonoultramicroscopicsilicovolcanoconiosis	Abstract	Linguistic Structures	Longest word: "a lung disease caused by inhalation of very fine silicate or quartz dust."	gen
a large stone pedestal without a statue of a horse on it	Artifacts	Linguistic Structures	Negation	gen
a brown mouse laughing at a gray cat because a 16 ton weight is about to fall on its head	Animals	Linguistic Structures		same
a black dog sitting between a bush and a pair of green pants standing up with nobody inside them	Animals	Linguistic Structures		ret
The horse raced past the barn fell	Animals	Linguistic Structures	Garden-path sentences	gen
The old man the boat.	People	Linguistic Structures	Garden-path sentences	gen
We painted the wall with cracks.	People	Linguistic Structures	Garden-path sentences	gen
The raft floated down the river sank.	Vehicles	Linguistic Structures	Garden-path sentences	gen
Mary gave the child the dog bit a Band-Aid.	People	Linguistic Structures	Garden-path sentences	same
The man who whistles tunes pianos.	People	Linguistic Structures	Garden-path sentences	gen
One morning I chased an elephant in my pajamas	People	Linguistic Structures	Syntactic Ambiguities	ret
A tourist is looking at a whale using a binocular	People	Linguistic Structures	Syntactic Ambiguities	gen
The dog chased the cat, which ran up a tree. It waited at the top.	Animals	Linguistic Structures	Winograd Schema Challenge	same
The dog chased the cat, which ran up a tree. It waited at the bottom.	Animals	Linguistic Structures	Winograd Schema Challenge	ret
An aerial view of Ha Long Bay without any boats	World Knowledge	Linguistic Structures	Negation	same
a bench without any cats on it	Artifacts	Linguistic Structures	Negation	same
a laptop no letters on its keyboard	Artifacts	Linguistic Structures	Negation	gen
a subway train with no cows in it	Vehicles	Linguistic Structures	Negation	same
a kitchen without a refrigerator	Indoor Scenes	Linguistic Structures	Negation	ret
several lily pads without frogs	Produce & Plants	Linguistic Structures	Negation	same
a street without vehicles	Outdoor Scenes	Linguistic Structures	Negation	ret
a house with no windows	Outdoor Scenes	Linguistic Structures	Negation	gen
a car with no windows	Vehicles	Linguistic Structures	Negation	ret
a fish without eyes	Animals	Linguistic Structures	Negation	ret
a city intersection without cars	Outdoor Scenes	Linguistic Structures	Negation	same
a horse without a rider	Animals	Linguistic Structures	Negation	same
a banana without its peel	Produce & Plants	Linguistic Structures	Negation	same
a bat landing on a baseball bat	Animals	Linguistic Structures		gen
a bird landing on a bat	Animals	Linguistic Structures		same
a rowboat without paddles	Vehicles	Linguistic Structures	Negation	same
a harp without any strings	Artifacts	Linguistic Structures	Negation	same
a marina without any boats in it	Outdoor Scenes	Linguistic Structures	Negation	ret
Zoomed out view of a giraffe and a zebra in the middle of a field covered with colorful flowers	Animals	Perspective		same
Three-quarters front view of a blue 1977 Corvette coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		same
Three-quarters front view of a blue 1977 Ford F-150 coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		gen
Three-quarters front view of a blue 1977 Porsche 911 coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		gen
Three-quarters front view of a red 1997 Corvette coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		same
Three-quarters front view of a red 1997 Ford F-150 coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		same
Three-quarters front view of a red 1997 Porsche 911 coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		ret
Three-quarters front view of a yellow 2017 Corvette coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		gen
Three-quarters front view of a yellow 2017 Ford F-150 coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		gen
Three-quarters front view of a yellow 2017 Porsche 911 coming around a curve in a mountain road and looking over a green valley on a cloudy day.	Vehicles	Perspective		gen
A photo of a frog reading the newspaper named "Toaday" written on it. There is a frog printed on the newspaper too.	Animals	Perspective		same
The frog found itself in the newspaper	Animals	Perspective		gen
A cat dreaming about becoming a tiger	Animals	Perspective		same
A close-up of two chameleons wearing karate uniforms and fighting, jumping over a waterfall.	Animals	Perspective		gen
A close-up of two mantis wearing karate uniforms and fighting, jumping over a waterfall.	Animals	Perspective		gen
A close-up of two beetles wearing karate uniforms and fighting, jumping over a waterfall.	Animals	Perspective		gen
A robot with a black visor and the number 42 on its chest. It stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. wide-angle view. comic book illustration.	Illustrations	Perspective		gen
A smiling sloth is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. The sloth is standing on grass a few feet in front of a shiny VW van with flowers painted on it. wide-angle lens from below.	World Knowledge	Perspective		ret
A smiling sloth wearing a leather jacket, bowtie, kilt and cowboy hat. The sloth is holding a quarterstaff and a big book. The sloth is standing on grass a few feet in front of a rusty old VW van with flowers painted on it. wide-angle lens from below.	World Knowledge	Perspective		same
view of a giraffe and a zebra in the middle of a field	Animals	Perspective		gen
Aerial view of downtown Manhattan, but with Millennium Wheel next to the Statue of Liberty. The Great Pyramid is on a sandy island near the buildings.	World Knowledge	Perspective		same
Ground view of the Great Pyramids and Sphinx on the moon's surface. The back of an astronaut is in the foreground. The planet Earth looms in the sky.	World Knowledge	Perspective		ret
Saturn rises on the horizon.	Outdoor Scenes	Perspective		ret
Mars rises on the horizon.	Outdoor Scenes	Perspective		same
Jupiter rises on the horizon.	Outdoor Scenes	Perspective		gen
a close-up of a blue dragonfly on a daffodil	Animals	Perspective		same
long shards of a broken mirror reflecting the eyes of a great horned owl	Artifacts	Perspective		gen
side view of a brown horse wearing a saddle. the number 55 is stamped in white on its rear flank.	Animals	Perspective		same
three quarters view of a rusty old red pickup truck with white doors and a smashed windshield	Vehicles	Perspective		same
view from below of a tall white ladder with just one rung leaning up against a yellow brick wall	Artifacts	Perspective		same
a photo of the back of a covered wagon. a polar bear is sticking it's head out of the wagon.	Vehicles	Perspective		same
a close up of a handpalm with leaves growing from it	People	Perspective	DALL-E 2	same
a corgi’s head	Animals	Perspective		same
An aerial view of Ha Long Bay	World Knowledge	Perspective		ret
a macro photograph of brain coral	Animals	Perspective	DALL-E	same
a cross-section view of a walnut	Produce & Plants	Perspective	DALL-E	ret
an extreme close-up view of a capybara sitting in a field	Animals	Perspective	DALL-E	gen
an overhead view of the Empire State Building	World Knowledge	Perspective		same
a pig face	Animals	Perspective		same
a close-up of a bloody mary cocktail	Food & Beverage	Perspective		ret
a close-up of an old-fashioned cocktail	Food & Beverage	Perspective		gen
a close-up of a long-island ice tea cocktail	Food & Beverage	Perspective		gen
a close-up of a margarita	Food & Beverage	Perspective		same
the back of a violin	Artifacts	Perspective		same
view of a clock tower from above	Artifacts	Perspective		same
view of a clock tower from below	Artifacts	Perspective		gen
an aerial photo of a carnival at night	Outdoor Scenes	Perspective		gen
an aerial photo of a baseball stadium	Outdoor Scenes	Perspective		same
an aerial photo of a sandy island in the ocean	Outdoor Scenes	Perspective		same
an ostrich's face	Animals	Perspective		gen
a close-up of an ostrich's face	Animals	Perspective		same
the eyes of an owl	Animals	Perspective		same
a close-up of the eyes of an owl	Animals	Perspective		gen
a top down view of a horse running in a field	Animals	Perspective		gen
tall buildings seen through a window with rain on it	Outdoor Scenes	Perspective		same
trees seen through a car window on a rainy day	Outdoor Scenes	Perspective		same
a view of the Earth from the moon	Outdoor Scenes	Perspective		gen
an image of the moons of the planet Jupiter	Outdoor Scenes	Perspective		ret
the eye of the planet Jupiter	Outdoor Scenes	Perspective		gen
a close-up of the eye of the planet Jupiter	Outdoor Scenes	Perspective		same
an aerial view of the Great Wall	World Knowledge	Perspective		gen
view of the Great Wall from its base	World Knowledge	Perspective		same
an overhead view of a pickup truck with boxes in its flatbed	Vehicles	Perspective		gen
a close-up of the keys of a piano	Artifacts	Perspective		ret
an aerial view of the Great Pyramid	World Knowledge	Perspective		same
a view of the Milllenium Wheel from the Thames	World Knowledge	Perspective		same
overhead view of three people looking down at the street from the top of a tall building	People	Perspective		ret
two people facing each other	People	Perspective		ret
two people facing the viewer	People	Perspective		same
a three quarters view of a man getting into a car	People	Perspective		same
a stack of three red cubes with a blue sphere on the right and two green cones on the left	Illustrations	Properties & Positioning		gen
A photo of a Persian Metal Engraving vase sitting to the left of a bunch of orange flowers.	World Knowledge	Properties & Positioning		ret
A photo of a Japanese Porcelain Imari vase on the ground below a wooden chair.	World Knowledge	Properties & Positioning		same
a pen-and-ink crosshatched drawing of a sphere with dark square on it	Illustrations	Properties & Positioning		ret
a metallic blue sphere to the left of a yellow box made of felt	Illustrations	Properties & Positioning		same
a blue wooden pyramid on top of a red plastic box	Illustrations	Properties & Positioning		gen
concentric squares fading from yellow on the outside to deep orange on the inside	Illustrations	Properties & Positioning		ret
A green heart with shadow	Illustrations	Properties & Positioning	VQ-Diffusion	ret
a red cube on top of a blue cube	Illustrations	Properties & Positioning	GLIDE	gen
a white flag with a red circle next to a solid blue flag	Artifacts	Properties & Positioning		ret
a red circle on top of a blue square	Illustrations	Properties & Positioning		same
a yellow box to the right of a blue sphere	Illustrations	Properties & Positioning		same
a red box to the right of a green sphere	Illustrations	Properties & Positioning		gen
a red box next to a blue box	Illustrations	Properties & Positioning		same
a red sphere on top of a yellow box	Illustrations	Properties & Positioning		ret
a large blue box with three small yellow boxes on it	Illustrations	Properties & Positioning		gen
several red lego blocks and one blue one	Artifacts	Properties & Positioning		same
a red block to the left of a blue pyramid	Illustrations	Properties & Positioning		same
three small yellow boxes on a large blue box	Illustrations	Properties & Positioning		gen
a black background with a large yellow circle	Illustrations	Properties & Positioning		same
a white background with a large blue circle	Illustrations	Properties & Positioning		same
a black background with a large yellow square	Illustrations	Properties & Positioning		same
a white background with a large blue square	Illustrations	Properties & Positioning		ret
a black background with a large yellow circle and a small red square	Illustrations	Properties & Positioning		ret
a white background with a large blue circle and a small green square	Illustrations	Properties & Positioning		same
a large yellow triangle above a green square and red rectangle	Illustrations	Properties & Positioning		same
two small circles to the left of a red triangle that is on a green rectangle	Illustrations	Properties & Positioning		same
a green pyramid in front of a blue box	Illustrations	Properties & Positioning		gen
a large yellow sphere behind a small purple pyramid	Illustrations	Properties & Positioning		gen
a metallic blue sphere to the left of a brown cardboard box	Illustrations	Properties & Positioning		gen
a yellow swirl next to a blue dashed line.	Illustrations	Properties & Positioning		same
a red swirl above a black dashed line.	Illustrations	Properties & Positioning		same
a green pepper to the left of a red pepper	Food & Beverage	Properties & Positioning		same
a brown trash bin to the left of a blue recycling bin	Artifacts	Properties & Positioning		same
a circular brown trash bin in front of a brick wall	Artifacts	Properties & Positioning		same
ten red apples	Produce & Plants	Quantity		gen
Four dragons surrounding a dinosaur	Animals	Quantity		same
Four cats surrounding a dog	Animals	Quantity		ret
two baseballs to the left of three tennis balls	Artifacts	Quantity		gen
a group of not more than five meerkats standing with the sun setting behind them	Animals	Quantity		gen
a basketball game between a team of four cats and a team of three dogs	Animals	Quantity		gen
the hands of a single person holding a basketball	People	Quantity		same
several people putting their hands on a basketball	People	Quantity		same
a tiny football in front of three yellow tennis balls	Artifacts	Quantity		ret
two beat-up baseballs on either side of a yellow basketball	Artifacts	Quantity		gen
two baseballs next to three tennis balls	Artifacts	Quantity		same
7 dogs sitting around a poker table	Animals	Quantity	Description of "Dogs Playing Poker"	ret
7 dogs sitting around a poker table, two of which are turning away.	Animals	Quantity	Description of "Dogs Playing Poker"	same
300 movie titles	Artifacts	Quantity	Simple numbers but challenging	ret
a collection of glasses	Artifacts	Quantity		gen
two chairs	Artifacts	Quantity		gen
three chairs	Artifacts	Quantity		gen
five chairs	Artifacts	Quantity		gen
two wooden chairs and three metal chairs	Artifacts	Quantity		gen
three black cats standing next to two orange cats	Animals	Quantity		same
a bunch of laptops piled on a sofa	Indoor Scenes	Quantity		same
four owls standing on a telephone wire	Animals	Quantity		same
an owl family	Animals	Quantity		same
a comic about an owl family in the forest	Artifacts	Quantity		gen
two cats	Animals	Quantity		gen
a comic about two cats doing research	Artifacts	Quantity		gen
three elephants standing on top of each other	Animals	Quantity		gen
two red boxes	Illustrations	Quantity		gen
two violins standing up	Artifacts	Quantity		gen
two violins standing up with their bows on the ground in front of them	Artifacts	Quantity		gen
three violins lying on the floor	Indoor Scenes	Quantity		gen
three red lego blocks	Artifacts	Quantity		gen
four teacups surounding a kettle	Artifacts	Quantity		gen
three small yellow boxes	Illustrations	Quantity		same
bottles	Artifacts	Quantity		same
two frosted glass bottles	Artifacts	Quantity		gen
five frosted glass bottles	Artifacts	Quantity		same
three green glass bottles	Artifacts	Quantity		same
four green glass bottles	Artifacts	Quantity		ret
two wine bottles	Artifacts	Quantity		gen
three wine bottles	Artifacts	Quantity		same
four wine bottles	Artifacts	Quantity		ret
ten wine bottles	Artifacts	Quantity		gen
two wine bottles and three beer cans	Artifacts	Quantity		gen
a pair of matching socks with cute cats on them	Artifacts	Quantity		same
a pile of cash on a wooden table	Artifacts	Quantity		gen
a pile of cash on a stone floor	Artifacts	Quantity		ret
two red balls	Artifacts	Quantity		ret
two red balls on a table	Artifacts	Quantity		same
five red balls	Artifacts	Quantity		gen
five red balls on a table	Artifacts	Quantity		gen
three yellow balls and two red boxes on a table	Artifacts	Quantity		gen
an antique chest with three drawers	Artifacts	Quantity		same
ten triangles and five squares on a black background	Illustrations	Quantity		same
a pile of toy cars	Artifacts	Quantity		ret
a full bookshelf with three shelves	Artifacts	Quantity		gen
a bookshelf with ten books stacked vertically	Artifacts	Quantity		ret
three airplanes parked in a row at a terminal	Vehicles	Quantity		same
three green peppers	Food & Beverage	Quantity		ret
five green peppers to the right of two red onions	Food & Beverage	Quantity		same
Times Square with thousands of dogs running around	World Knowledge	Quantity		same
three pickup trucks piled on top of each other	Vehicles	Quantity		ret
a pair of brown suede shoes	Artifacts	Quantity		gen
two red flowers and three white flowers	Produce & Plants	Quantity		ret
two parallel chemtrails in blue sky	Outdoor Scenes	Quantity		same
two chemtrails forming an X in blue sky	Outdoor Scenes	Quantity		ret
a tennis court with three yellow cones on it	Outdoor Scenes	Quantity		gen
a tennis court with tennis balls scattered all over it	Outdoor Scenes	Quantity		same
a ceiling fan with four white blades	Indoor Scenes	Quantity		same
a ceiling fan with five brown blades	Indoor Scenes	Quantity		same
two pianos next to each other	Indoor Scenes	Quantity		same
a series of musical notes	Illustrations	Quantity		ret
a field with ten massive modern windmills	Outdoor Scenes	Quantity		same
two motorcycles facing each other	Vehicles	Quantity		ret
children	People	Quantity		same
one child on a couch	People	Quantity		same
three children on a couch	People	Quantity		same
ten children on a couch	People	Quantity		gen
a crowd of people watching fireworks	People	Quantity		gen
a parade with cars and people waving	People	Quantity		gen
a family of four posing in front of a house	People	Quantity		same
a family of four posing at the Grand Canyon	People	Quantity		same
a family of four posing at Mount Rushmore	People	Quantity		same
a family of four posing on the moon	People	Quantity		same
a family of four walking at the beach with waves covering their feet	People	Quantity		ret
a jungle gym with three kids on it	People	Quantity		same
four people riding in a convertible car	People	Quantity		ret
two runners crossing the finish line together	People	Quantity		gen
a four-piece band on a stage in front of a small crowd	People	Quantity		same
two sets of identical twins	People	Quantity		ret
Siberian husky playing the piano.	Animals	Simple Detail		same
A van parked on grass	Vehicles	Simple Detail		same
a smiling sloth	Animals	Simple Detail		ret
A shiny VW van parked on grass.	World Knowledge	Simple Detail		same
a farm scene with cows, ducks and a tractor.	Outdoor Scenes	Simple Detail		gen
a lavender backpack with a triceratops stuffed animal head on top	Artifacts	Simple Detail		gen
a dolphin in an astronaut suit	Animals	Simple Detail	DALL-E 2	ret
a teddy bear on a skateboard	Artifacts	Simple Detail	DALL-E 2	gen
A tiger is playing football	Animals	Simple Detail	CogView	gen
A Google map highlighting Vietnam	World Knowledge	Simple Detail		ret
A bowl of Chicken Pho	Food & Beverage	Simple Detail		same
A bowl of Beef Pho	Food & Beverage	Simple Detail		same
a lovestruck cup of boba	Food & Beverage	Simple Detail	DALL-E	gen
a horse in a field of flowers	Outdoor Scenes	Simple Detail		same
A green heart	Illustrations	Simple Detail		ret
The sunset on the beach is wonderful	Outdoor Scenes	Simple Detail	VQ-Diffusion	ret
A red bus is driving on the road	Vehicles	Simple Detail	VQ-Diffusion	same
A picture of a very tall stop sign	Outdoor Scenes	Simple Detail	VQ-Diffusion	gen
A movie poster of mountain and sea	Artifacts	Simple Detail	VQ-Diffusion	gen
A giraffe walking through a green grass covered field	Animals	Simple Detail	VQ-Diffusion	gen
A green train is coming down the tracks	Vehicles	Simple Detail	VQ-Diffusion	gen
A living area with a television and a table	Indoor Scenes	Simple Detail	VQ-Diffusion	same
A red hydrant on the grass	Outdoor Scenes	Simple Detail	VQ-Diffusion	same
Sunset over the sea	Outdoor Scenes	Simple Detail	VQ-Diffusion	gen
A small house in the wilderness	Outdoor Scenes	Simple Detail	VQ-Diffusion	same
Sunset over the skyline of a city	Outdoor Scenes	Simple Detail	VQ-Diffusion	same
A heart made of chocolate	Illustrations	Simple Detail	VQ-Diffusion	same
A heart made of water	Illustrations	Simple Detail	VQ-Diffusion	same
A heart made of wood	Illustrations	Simple Detail	VQ-Diffusion	gen
A heart made of cookie	Illustrations	Simple Detail	VQ-Diffusion	same
a white country home	Outdoor Scenes	Simple Detail		same
robots meditating	Artifacts	Simple Detail		same
a robot kicking a soccer ball	Artifacts	Simple Detail		same
a cat looking out of a window	Animals	Simple Detail		ret
a cat coming through a cat door	Animals	Simple Detail		gen
a cat jumping in the air	Animals	Simple Detail		gen
a cat jumping in the air to catch a bird	Animals	Simple Detail		same
a cat jumping in the air to get onto a table	Animals	Simple Detail		same
a sunset behind the grand canyon	World Knowledge	Simple Detail	GLIDE	gen
a boat in the canals of venice	World Knowledge	Simple Detail	GLIDE	same
a large white yacht	Vehicles	Simple Detail		ret
a panda eating bamboo	Animals	Simple Detail	GLIDE	same
a fog rolling into new york	World Knowledge	Simple Detail	GLIDE	same
a green clock	Artifacts	Simple Detail		gen
a photo of a phone from the 20s	Artifacts	Simple Detail	DALL-E	same
a photo of the food of china	Food & Beverage	Simple Detail	DALL-E	same
a baby daikon radish	Produce & Plants	Simple Detail	DALL-E	gen
a very fancy French restaurant	Indoor Scenes	Simple Detail		same
a tiger standing by some flowers	Animals	Simple Detail		gen
a bench next to a flower pot	Artifacts	Simple Detail		gen
a bird standing on a stick	Animals	Simple Detail		gen
a blue sports car on the road	Vehicles	Simple Detail		same
a red sports car on the road	Vehicles	Simple Detail		same
a soccer ball flying over a car	Outdoor Scenes	Simple Detail		same
the finale of a fireworks display	Outdoor Scenes	Simple Detail		gen
beautiful fireworks in the sky	Outdoor Scenes	Simple Detail		gen
a subway train	Vehicles	Simple Detail		ret
a subway train coming out of a tunnel	Vehicles	Simple Detail		same
orange jello	Food & Beverage	Simple Detail		same
a yellow t-shirt	Artifacts	Simple Detail		gen
a blue t-shirt	Artifacts	Simple Detail		same
a flag furling in the wind	Artifacts	Simple Detail		same
a white towel	Artifacts	Simple Detail		ret
a white towel with a cat on it	Artifacts	Simple Detail		gen
a black towel	Artifacts	Simple Detail		gen
a black towel with a dog on it	Artifacts	Simple Detail		same
a yellow wall	Artifacts	Simple Detail		ret
a friendly car in the city	Vehicles	Simple Detail		same
an owl family in the forest	Animals	Simple Detail		same
a kangaroo jumping through the park	Animals	Simple Detail		gen
a street in Paris	World Knowledge	Simple Detail		same
a canal in Venice	World Knowledge	Simple Detail		same
a small house	Outdoor Scenes	Simple Detail		ret
a small house on a mountain top	Outdoor Scenes	Simple Detail		same
the grand canyon on a cloudy day	World Knowledge	Simple Detail		same
a house on a mountain	Outdoor Scenes	Simple Detail		gen
a photograph of a house on a mountain	Outdoor Scenes	Simple Detail		same
a peaceful lakeside landscape	Outdoor Scenes	Simple Detail		same
a cat reading a book	Animals	Simple Detail		gen
a cat reading a newspaper	Animals	Simple Detail		ret
a cat reading a comic book	Animals	Simple Detail		gen
a horse reading a book	Animals	Simple Detail		same
a horse reading a newspaper	Animals	Simple Detail		same
a horse reading a comic book	Animals	Simple Detail		ret
a cat jumping down from a wall	Animals	Simple Detail		ret
a pumpkin with a candle in it	Produce & Plants	Simple Detail		gen
a sword in a stone	Artifacts	Simple Detail		ret
an Egyptian statue	World Knowledge	Simple Detail		gen
an Egyptian statue in the desert	World Knowledge	Simple Detail		gen
a massive statue in a temple	Artifacts	Simple Detail		same
a circular logo on a coffee mug	Illustrations	Simple Detail		same
a pig in a field	Animals	Simple Detail		gen
a horse in a field	Animals	Simple Detail		same
a squirrel in a field	Animals	Simple Detail		gen
a tiger in a field	Animals	Simple Detail		gen
a pig in a forest	Animals	Simple Detail		same
a horse in a forest	Animals	Simple Detail		same
a squirrel in a forest	Animals	Simple Detail		ret
a tiger in a forest	Animals	Simple Detail		gen
a hammer on a table	Artifacts	Simple Detail		same
a screwdriver on a table	Artifacts	Simple Detail		same
a handsaw on a table	Artifacts	Simple Detail		gen
a power drill on a table	Artifacts	Simple Detail		same
a bloody mary cocktail	Food & Beverage	Simple Detail		same
an old-fashioned cocktail	Food & Beverage	Simple Detail		gen
a long-island ice tea cocktail	Food & Beverage	Simple Detail		ret
a tree surrounded by flowers	Produce & Plants	Simple Detail		same
a street with several cars on it	Outdoor Scenes	Simple Detail		gen
an avocado on a table	Produce & Plants	Simple Detail		same
a kitchen with a large refrigerator	Indoor Scenes	Simple Detail		gen
weeds in the cracks of a sidewalk	Artifacts	Simple Detail		ret
a wood treehouse in an oak tree	Artifacts	Simple Detail		gen
a metal treehouse in an oak tree	Artifacts	Simple Detail		gen
a violin next to an apple	Artifacts	Simple Detail		ret
a room with two chairs and a painting	Indoor Scenes	Simple Detail		gen
a canal in Amsterdam	World Knowledge	Simple Detail		same
red apples on a tree with green leaves	Produce & Plants	Simple Detail		gen
a stop sign	Artifacts	Simple Detail		ret
a yield sign	Artifacts	Simple Detail		gen
a mountain with a cloud hanging over it	Outdoor Scenes	Simple Detail		same
a bottle of red wine	Food & Beverage	Simple Detail		same
wine bottles	Food & Beverage	Simple Detail		same
the cover of a book about gardening	Illustrations	Simple Detail		gen
a milk container on a table	Artifacts	Simple Detail		gen
a milk container in a refrigerator	Artifacts	Simple Detail		same
a marine iguana crossing the street	Animals	Simple Detail		ret
cash on a stone floor	Artifacts	Simple Detail		same
a half-peeled banana	Produce & Plants	Simple Detail		gen
a black baseball hat	Artifacts	Simple Detail		gen
black hi-top sneakers	Artifacts	Simple Detail		same
a roast turkey on the table	Food & Beverage	Simple Detail		gen
a plate with white rice topped by cooked vegetables	Food & Beverage	Simple Detail		gen
slices of avocado on a piece of toast	Food & Beverage	Simple Detail		same
slices of mango on a piece of toast	Food & Beverage	Simple Detail		same
a bamboo ladder	Artifacts	Simple Detail		ret
a cat jumps over a baby gate	Animals	Simple Detail		gen
an ostrich standing on a couch	Animals	Simple Detail		same
a taxi driving in the countryside	Vehicles	Simple Detail		gen
a two lane road with a bright yellow line 	Outdoor Scenes	Simple Detail		gen
a road ruined by an earthquake	Outdoor Scenes	Simple Detail		gen
a volcano erupting near a small town	Outdoor Scenes	Simple Detail		same
a volcano with lava pouring down its slopes	Outdoor Scenes	Simple Detail		same
a horse running in a field	Animals	Simple Detail		same
a robot cooking	Artifacts	Simple Detail		ret
a robot cooking in the kitchen	Indoor Scenes	Simple Detail		gen
a compass next to a piece of fruit	Artifacts	Simple Detail		gen
the silhouette of an elephant	Animals	Simple Detail		ret
a tree growing through a fence	Produce & Plants	Simple Detail		ret
a butterfly kite stuck high in a tree	Produce & Plants	Simple Detail		same
a unicorn with a multicolored mane	Animals	Simple Detail		same
a crown with a ruby in its center	Artifacts	Simple Detail		same
an ornate jewel-encrusted key	Artifacts	Simple Detail		same
a goat wearing headphones	Animals	Simple Detail		same
a small tree covered in white blossoms	Produce & Plants	Simple Detail		gen
an antique chest	Artifacts	Simple Detail		gen
a coffee table with a magazine on it	Indoor Scenes	Simple Detail		same
a yellow wall with two framed sketches	Indoor Scenes	Simple Detail		ret
a squirrell driving a toy car	Animals	Simple Detail		same
a penguin standing on a sidewalk	Animals	Simple Detail		gen
a basketball hoop with a large blue ball stuck in it	Outdoor Scenes	Simple Detail		gen
a racoon holding a shiny red apple over its head	Animals	Simple Detail		gen
a pair of glasses under a computer monitor	Artifacts	Simple Detail		gen
a throw rug on a stone floor	Artifacts	Simple Detail		ret
a beach with apartment buildings next to it	Outdoor Scenes	Simple Detail		same
a moose standing over a fox	Animals	Simple Detail		gen
a massive statue of Hanuman	World Knowledge	Simple Detail		ret
a black t-shirt	Artifacts	Simple Detail		gen
a small airplane	Vehicles	Simple Detail		ret
an airplane taking off of a runway	Vehicles	Simple Detail		gen
a monarch butterfly	Animals	Simple Detail		same
a lizard that just lost its tail	Animals	Simple Detail		gen
a golden doorknocker on a red door	Artifacts	Simple Detail		ret
a pitcher of orange juice	Food & Beverage	Simple Detail		same
a glass of orange juice	Food & Beverage	Simple Detail		ret
a green pepper cut in half on a plate	Food & Beverage	Simple Detail		same
a green pepper sliced into many pieces	Food & Beverage	Simple Detail		ret
